experiment,threshold,false_match_rate,true_match_rate
lfw_development,1.9230355571434032,0.0,0.0
lfw_development,0.9230355571434032,0.0,0.0022624434389140274
lfw_development,0.9042162456798771,0.0,0.004524886877828055
lfw_development,0.9020390129106328,0.0,0.006787330316742082
lfw_development,0.891010481840575,0.0,0.00904977375565611
lfw_development,0.8839239554662346,0.0,0.011312217194570135
lfw_development,0.8821926981701825,0.0,0.013574660633484163
lfw_development,0.8815726759695027,0.0,0.01583710407239819
lfw_development,0.8765006483927273,0.0,0.01809954751131222
lfw_development,0.8734423920753515,0.0,0.020361990950226245
lfw_development,0.8715844252805498,0.0,0.02262443438914027
lfw_development,0.8658793983295008,0.0,0.024886877828054297
lfw_development,0.8628913219118813,0.0,0.027149321266968326
lfw_development,0.8583851697144791,0.0,0.029411764705882353
lfw_development,0.8569325008922821,0.0,0.03167420814479638
lfw_development,0.8563690464183035,0.0,0.033936651583710405
lfw_development,0.8509509396172938,0.0,0.03619909502262444
lfw_development,0.8470817755289607,0.0,0.038461538461538464
lfw_development,0.8404900867082591,0.0,0.04072398190045249
lfw_development,0.8378449139689046,0.0,0.042986425339366516
lfw_development,0.8355235134208763,0.0,0.04524886877828054
lfw_development,0.8324843173623717,0.0,0.04751131221719457
lfw_development,0.83203015891304,0.0,0.049773755656108594
lfw_development,0.8303584573585227,0.0,0.05203619909502263
lfw_development,0.8295319991423347,0.0,0.05429864253393665
lfw_development,0.8291910278072506,0.0,0.05656108597285068
lfw_development,0.8284959858954801,0.0,0.058823529411764705
lfw_development,0.8263828523256227,0.0,0.06108597285067873
lfw_development,0.8257905308581297,0.0,0.06334841628959276
lfw_development,0.823723121593875,0.0,0.06561085972850679
lfw_development,0.8229943648746477,0.0,0.06787330316742081
lfw_development,0.8206268061468167,0.0,0.07013574660633484
lfw_development,0.8204088979847783,0.0,0.07239819004524888
lfw_development,0.8190423974787766,0.0,0.0746606334841629
lfw_development,0.8167203436573479,0.0,0.07692307692307693
lfw_development,0.8160531934547564,0.0,0.07918552036199095
lfw_development,0.8146251232711128,0.0,0.08144796380090498
lfw_development,0.812926871728444,0.0,0.083710407239819
lfw_development,0.8110442484359428,0.0,0.08597285067873303
lfw_development,0.8108842951646512,0.0,0.08823529411764706
lfw_development,0.810413709786981,0.0,0.09049773755656108
lfw_development,0.8094604542603514,0.0,0.09276018099547512
lfw_development,0.8075598665460568,0.0,0.09502262443438914
lfw_development,0.8002611574334385,0.0,0.09728506787330317
lfw_development,0.7991372551239111,0.0,0.09954751131221719
lfw_development,0.7967246048724721,0.0,0.10180995475113122
lfw_development,0.794945747807452,0.0,0.10407239819004525
lfw_development,0.7945252666951111,0.0,0.10633484162895927
lfw_development,0.7938762523035934,0.0,0.1085972850678733
lfw_development,0.7937389184425867,0.0,0.11085972850678733
lfw_development,0.7932374609057716,0.0,0.11312217194570136
lfw_development,0.7931774858086478,0.0,0.11538461538461539
lfw_development,0.7928475639660973,0.0,0.11764705882352941
lfw_development,0.7926954022193518,0.0,0.11990950226244344
lfw_development,0.7912803034586977,0.0,0.12217194570135746
lfw_development,0.7898153955875331,0.0,0.1244343891402715
lfw_development,0.7876441155208548,0.0,0.12669683257918551
lfw_development,0.7858630402814892,0.0,0.12895927601809956
lfw_development,0.7830288574177551,0.0,0.13122171945701358
lfw_development,0.7816519867589529,0.0,0.1334841628959276
lfw_development,0.7816293398413316,0.0,0.13574660633484162
lfw_development,0.7812212622015563,0.0,0.13800904977375567
lfw_development,0.7790503689384806,0.0,0.14027149321266968
lfw_development,0.7785770954435157,0.0,0.1425339366515837
lfw_development,0.7777951669938029,0.0,0.14479638009049775
lfw_development,0.7775802355022229,0.0,0.14705882352941177
lfw_development,0.7757657580917149,0.0,0.1493212669683258
lfw_development,0.775567111297377,0.0,0.1515837104072398
lfw_development,0.7747987412963745,0.0,0.15384615384615385
lfw_development,0.7728717430212464,0.0,0.15610859728506787
lfw_development,0.7724610881934437,0.0,0.1583710407239819
lfw_development,0.7714564702906815,0.0,0.16063348416289594
lfw_development,0.7696427847818258,0.0,0.16289592760180996
lfw_development,0.7684754605989919,0.0,0.16515837104072398
lfw_development,0.7682992934615945,0.0,0.167420814479638
lfw_development,0.7680466304955342,0.0,0.16968325791855204
lfw_development,0.767198858044436,0.0,0.17194570135746606
lfw_development,0.7671062715437029,0.0,0.17420814479638008
lfw_development,0.7665673931744457,0.0,0.17647058823529413
lfw_development,0.765879916155149,0.0,0.17873303167420815
lfw_development,0.7626980958647271,0.0,0.18099547511312217
lfw_development,0.7622055944512757,0.0,0.1832579185520362
lfw_development,0.7599035230423665,0.0,0.18552036199095023
lfw_development,0.7591808784773746,0.0,0.18778280542986425
lfw_development,0.7587837115808194,0.0,0.19004524886877827
lfw_development,0.7583581102838726,0.0,0.19230769230769232
lfw_development,0.7582745756292688,0.0,0.19457013574660634
lfw_development,0.7582411268498268,0.0,0.19683257918552036
lfw_development,0.7582359935538796,0.0,0.19909502262443438
lfw_development,0.7548179787350515,0.0,0.20135746606334842
lfw_development,0.7544739306369117,0.0,0.20361990950226244
lfw_development,0.7539963258766978,0.0,0.20588235294117646
lfw_development,0.7524908029651073,0.0,0.2081447963800905
lfw_development,0.7518209454378258,0.0,0.21040723981900453
lfw_development,0.7515487426450819,0.0,0.21266968325791855
lfw_development,0.7505158965927299,0.0,0.2149321266968326
lfw_development,0.7496490610062063,0.0,0.2171945701357466
lfw_development,0.7492431608723962,0.0,0.21945701357466063
lfw_development,0.7487170708381147,0.0,0.22171945701357465
lfw_development,0.7484421227200393,0.0,0.2239819004524887
lfw_development,0.7476719801700037,0.0,0.22624434389140272
lfw_development,0.7476366830302061,0.0,0.22850678733031674
lfw_development,0.746861329362437,0.0,0.23076923076923078
lfw_development,0.7461280431882249,0.0,0.2330316742081448
lfw_development,0.7453334624779236,0.0,0.23529411764705882
lfw_development,0.7452477497638286,0.0,0.23755656108597284
lfw_development,0.7442704202237918,0.0,0.2398190045248869
lfw_development,0.7441266687188532,0.0,0.2420814479638009
lfw_development,0.7439918074487012,0.0,0.24434389140271492
lfw_development,0.7437964649289507,0.0,0.24660633484162897
lfw_development,0.7407705917173735,0.0,0.248868778280543
lfw_development,0.7397342960508078,0.0,0.251131221719457
lfw_development,0.7393566312087307,0.0,0.25339366515837103
lfw_development,0.7393379155478711,0.0,0.25565610859728505
lfw_development,0.7392296747804222,0.0,0.2579185520361991
lfw_development,0.7388961518924118,0.0,0.26018099547511314
lfw_development,0.7381146054343954,0.0,0.26244343891402716
lfw_development,0.7371057928829617,0.0,0.2647058823529412
